urn:aim:bjc9cNYRCIfpj9QJ:1, All Foreign Ownership, A0
urn:aim:HSn82V1lX7o7GcfK:1, Greater than fifty percent, 4
urn:aim:m5rtEknJFVHfkDPJ:1, Greater than or equal to ten percent and less than or equal to fifty percent, 3
urn:aim:uaAMnC75URk5YTDV:1, Greater than zero percent and less than ten percent, 2
urn:aim:VMMiBmh7IBRMKpMT:1, Zero percent, 1
